2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00009366,W00009366,317,89,39,11
W00009367,W00009367,275,93.9,18,6.1
W00009368,W00009368,285,94.4,17,5.6
W00009369,W00009369,373,93.7,25,6.3
W00009371,W00009371,314,93.5,22,6.5
W00009372,W00009372,305,88.9,38,11.1
W00009373,W00009373,276,89.6,32,10.4
W00009374,W00009374,289,94.1,18,5.9
W00009375,W00009375,302,73.8,107,26.2
W00009376,W00009376,309,79.8,78,20.2
W00009377,W00009377,220,79.7,56,20.3
W00009378,W00009378,286,81.5,65,18.5
W00009379,W00009379,201,80.4,49,19.6
W00009380,W00009380,200,79.4,52,20.6
W00009381,W00009381,239,81.3,55,18.7
W00009382,W00009382,228,82.3,49,17.7
W00009383,W00009383,219,77.9,62,22.1
W00009384,W00009384,258,74.8,87,25.2
W00009385,W00009385,284,75.7,91,24.3
W00009386,W00009386,369,89.6,43,10.4
W00009387,W00009387,256,87.7,36,12.3
W00009389,W00009389,309,84.7,56,15.3
W00009390,W00009390,289,83.3,58,16.7
W00009391,W00009391,372,89.6,43,10.4
W00009392,W00009392,259,83.5,51,16.5
W00009393,W00009393,210,86.4,33,13.6
W00009394,W00009394,270,81.6,61,18.4
W00009395,W00009395,220,78.6,60,21.4
W00009396,W00009396,260,83.1,53,16.9
W00009397,W00009397,279,82.1,61,17.9
W00009398,W00009398,235,89,29,11
W00009399,W00009399,247,82.1,54,17.9
W00009400,W00009400,298,83.9,57,16.1
W00009401,W00009401,264,84.9,47,15.1
W00009402,W00009402,245,82.5,52,17.5
W00009403,W00009403,269,82.5,57,17.5
W00009404,W00009404,230,87.8,32,12.2
W00009405,W00009405,227,90.8,23,9.2
W00009407,W00009407,234,74.3,81,25.7
W00009408,W00009408,224,90.7,23,9.3
W00009409,W00009409,253,85.5,43,14.5
W00009410,W00009410,322,91.7,29,8.3
W00009411,W00009411,313,79.4,81,20.6
W00009412,W00009412,259,83.3,52,16.7
W00009413,W00009413,232,82,51,18
W00009414,W00009414,236,88.7,30,11.3
W00009415,W00009415,295,86.3,47,13.7
W00009416,W00009416,294,85.7,49,14.3
W00009417,W00009417,241,87.3,35,12.7
W00009418,W00009418,228,85.7,38,14.3
W00009419,W00009419,223,79.1,59,20.9
W00009420,W00009420,285,85.3,49,14.7
W00009421,W00009421,251,89.6,29,10.4
W00009422,W00009422,256,81,60,19
W00009423,W00009423,333,90.2,36,9.8
W00009424,W00009424,340,91.9,30,8.1
W00009425,W00009425,295,88.3,39,11.7
W00009426,W00009426,245,85.7,41,14.3
W00009427,W00009427,264,90.1,29,9.9
W00009428,W00009428,349,89.9,39,10.1
W00009429,W00009429,250,90.9,25,9.1
W00009430,W00009430,200,84.4,37,15.6
W00009431,W00009431,210,87.1,31,12.9
W00009432,W00009432,233,88.6,30,11.4
W00009433,W00009433,382,87.2,56,12.8
W00009434,W00009434,372,93.2,27,6.8
W00009435,W00009435,164,88.2,22,11.8
W00009436,W00009436,272,86.9,41,13.1
W00009437,W00009437,311,90.9,31,9.1
W00009438,W00009438,205,88.4,27,11.6
W00009439,W00009439,240,85.1,42,14.9
W00009440,W00009440,261,87.9,36,12.1
W00009441,W00009441,378,90.6,39,9.4
W00009442,W00009442,172,83.9,33,16.1
W00009443,W00009443,292,93,22,7
W00009444,W00009444,262,87.9,36,12.1
W00009445,W00009445,223,87.5,32,12.5
W00009446,W00009446,345,91,34,9
W00009447,W00009447,217,90.8,22,9.2
W00009448,W00009448,286,93.5,20,6.5
W00009450,W00009450,360,93.3,26,6.7
W00009451,W00009451,317,84.8,57,15.2
W00009452,W00009452,290,85.8,48,14.2
W00009453,W00009453,273,79.4,71,20.6
W00009454,W00009454,383,93,29,7
W00009455,W00009455,162,89.5,19,10.5
W00009456,W00009456,324,88.3,43,11.7
W00009457,W00009457,273,84,52,16
W00009458,W00009458,244,81.3,56,18.7
