2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00009166,W00009166,279,88,28,8.8,307,96.8
W00009168,W00009168,203,86.4,26,11.1,229,97.5
W00009169,W00009169,319,89.6,23,6.5,342,96.1
W00009170,W00009170,284,91,16,5.1,300,96.1
W00009171,W00009171,444,84.9,46,8.8,490,93.7
W00009172,W00009172,282,92.5,20,6.6,302,99.1
W00009173,W00009173,225,90,14,5.6,239,95.6
W00009174,W00009174,312,93.1,19,5.7,331,98.8
W00009175,W00009175,313,94.6,10,3,323,97.6
W00009176,W00009176,337,92.8,12,3.3,349,96.1
W00009177,W00009177,295,89.4,28,8.5,323,97.9
W00009178,W00009178,227,93,5,2,232,95
W00009179,W00009179,295,92.5,16,5,311,97.5
W00009180,W00009180,318,93.8,19,5.6,337,99.4
W00009181,W00009181,484,90.8,21,3.9,505,94.7
W00009182,W00009182,291,93.9,8,2.6,299,96.5
W00009183,W00009183,394,93.6,16,3.8,410,97.4
W00009184,W00009184,287,93.8,18,5.9,305,99.7
W00009186,W00009186,264,96,6,2.2,270,98.2
W00009187,W00009187,237,89.8,16,6.1,253,95.9
W00009188,W00009188,295,91.9,13,4,308,95.9
W00009189,W00009189,251,85.4,32,10.9,283,96.3
W00009190,W00009190,278,89.1,25,8,303,97.1
W00009191,W00009191,395,86.6,38,8.3,433,94.9
W00009192,W00009192,198,87.6,21,9.3,219,96.9
W00009193,W00009193,189,90.4,11,5.3,200,95.7
W00009194,W00009194,313,86.9,15,4.2,328,91.1
W00009195,W00009195,295,87.5,18,5.3,313,92.8
W00009196,W00009196,244,86.8,31,11,275,97.8
W00009197,W00009197,258,85.7,28,9.3,286,95
W00009198,W00009198,379,88.8,33,7.7,412,96.5
W00009199,W00009199,279,91.8,18,5.9,297,97.7
W00009200,W00009200,272,90.4,13,4.3,285,94.7
W00009201,W00009201,252,86,25,8.5,277,94.5
W00009202,W00009202,233,87.6,27,10.2,260,97.8
W00009203,W00009203,199,90.5,13,5.9,212,96.4
W00009204,W00009204,224,91.8,17,7,241,98.8
W00009205,W00009205,290,89.8,26,8,316,97.8
W00009206,W00009206,259,89.6,23,8,282,97.6
W00009207,W00009207,188,86.6,23,10.6,211,97.2
W00009208,W00009208,304,93.3,16,4.9,320,98.2
W00009209,W00009209,202,79.8,41,16.2,243,96
W00009210,W00009210,196,86.3,21,9.3,217,95.6
W00009211,W00009211,238,91.2,13,5,251,96.2
W00009212,W00009212,212,87.2,22,9.1,234,96.3
W00009213,W00009213,254,87.3,23,7.9,277,95.2
W00009214,W00009214,195,75,59,22.7,254,97.7
W00009215,W00009215,211,71,70,23.6,281,94.6
W00009216,W00009216,287,84.4,31,9.1,318,93.5
W00009217,W00009217,201,74.4,46,17,247,91.4
W00009218,W00009218,275,89.6,28,9.1,303,98.7
W00009219,W00009219,222,83.5,34,12.8,256,96.3
W00009220,W00009220,260,79.5,51,15.6,311,95.1
W00009221,W00009221,278,78.8,58,16.4,336,95.2
W00009222,W00009222,160,56.1,98,34.4,258,90.5
W00009223,W00009223,278,81.5,52,15.2,330,96.7
W00009224,W00009224,235,77.8,40,13.2,275,91
W00009225,W00009225,267,85.3,37,11.8,304,97.1
W00009226,W00009226,289,86.8,43,12.9,332,99.7
W00009227,W00009227,236,89.1,21,7.9,257,97
W00009228,W00009228,224,86.2,29,11.2,253,97.4
W00009229,W00009229,320,88.9,34,9.4,354,98.3
W00009230,W00009230,268,77,61,17.5,329,94.5
W00009231,W00009231,180,72.6,53,21.4,233,94
W00009232,W00009232,281,83.1,49,14.5,330,97.6
W00009233,W00009233,275,82.1,43,12.8,318,94.9
W00009234,W00009234,206,84.8,33,13.6,239,98.4
W00009235,W00009235,274,83.8,35,10.7,309,94.5
W00009236,W00009236,277,75.5,67,18.3,344,93.8
W00009237,W00009237,327,75.9,84,19.5,411,95.4
W00009238,W00009238,250,86.2,34,11.7,284,97.9
W00009239,W00009239,249,76.4,49,15,298,91.4
W00009240,W00009240,245,81.9,40,13.4,285,95.3
W00009241,W00009241,226,69.8,81,25,307,94.8
W00009242,W00009242,289,83.8,44,12.8,333,96.6
W00009243,W00009243,310,94.5,12,3.7,322,98.2
W00009244,W00009244,227,86.3,33,12.5,260,98.8
W00009245,W00009245,433,93.3,21,4.5,454,97.8
W00009246,W00009246,281,81.9,41,12,322,93.9
W00009247,W00009247,250,82,39,12.8,289,94.8
W00009248,W00009248,256,88.3,25,8.6,281,96.9
W00009249,W00009249,270,90.9,8,2.7,278,93.6
W00009250,W00009250,240,85.4,34,12.1,274,97.5
W00009251,W00009251,344,88,34,8.7,378,96.7
W00009252,W00009252,361,86.4,42,10,403,96.4
W00009253,W00009253,245,79.5,54,17.5,299,97
W00009254,W00009254,261,78.4,68,20.4,329,98.8
W00009255,W00009255,228,78.6,47,16.2,275,94.8
W00009256,W00009256,323,86.6,38,10.2,361,96.8
W00009258,W00009258,279,75.4,77,20.8,356,96.2
W00009259,W00009259,200,74.9,47,17.6,247,92.5
W00009260,W00009260,242,78.6,51,16.6,293,95.2
W00009261,W00009261,301,86.2,36,10.3,337,96.5
W00009262,W00009262,265,92.3,14,4.9,279,97.2
W00009263,W00009263,360,90.5,25,6.3,385,96.8
W00009264,W00009264,264,91,9,3.1,273,94.1
W00009265,W00009265,235,85.8,21,7.7,256,93.5
W00009266,W00009266,230,89.8,18,7,248,96.8
W00009267,W00009267,194,83.3,27,11.6,221,94.9
W00009268,W00009268,194,81.5,30,12.6,224,94.1
W00009269,W00009269,219,77.7,34,12.1,253,89.8
W00009270,W00009270,245,92.1,16,6,261,98.1
W00009271,W00009271,197,89.5,10,4.5,207,94
W00009272,W00009272,259,92.2,18,6.4,277,98.6
W00009273,W00009273,206,86.6,27,11.3,233,97.9
W00009274,W00009274,236,86.8,28,10.3,264,97.1
W00009275,W00009275,212,87.2,26,10.7,238,97.9
W00009276,W00009276,313,91.8,15,4.4,328,96.2
W00009277,W00009277,243,89.7,23,8.5,266,98.2
W00009278,W00009278,201,83.1,33,13.6,234,96.7
W00009279,W00009279,226,83.1,33,12.1,259,95.2
W00009280,W00009280,292,91.5,15,4.7,307,96.2
W00009281,W00009281,288,76.6,72,19.1,360,95.7
W00009282,W00009282,241,85.2,31,11,272,96.2
W00009283,W00009283,272,85.8,37,11.7,309,97.5
W00009284,W00009284,226,74.1,69,22.6,295,96.7
W00009285,W00009285,265,79.8,53,16,318,95.8
W00009286,W00009286,233,83.8,34,12.2,267,96
W00009287,W00009287,248,91.5,6,2.2,254,93.7
W00009288,W00009288,266,82.1,49,15.1,315,97.2
W00009289,W00009289,245,84.8,37,12.8,282,97.6
W00009290,W00009290,251,82,46,15,297,97
W00009291,W00009291,125,59.5,84,40,209,99.5
W00009292,W00009292,241,71.3,89,26.3,330,97.6
W00009293,W00009293,263,69.8,52,13.8,315,83.6
W00009294,W00009294,170,66.1,74,28.8,244,94.9
W00009295,W00009295,297,79,70,18.6,367,97.6
W00009296,W00009296,216,76.6,47,16.7,263,93.3
